,author,rating,title,content,date,verified,image_url
0,Clemens,"5,0 von 5 Sternen",Tolles Fahrrad mit guter Technik! Sehr viel Fahrspaß!,"




                    Die Medien konnten nicht geladen werden.
                



 Die Lieferung erfolgte schnell.Alles super verpackt! Der Zusammenbau war einfach!Motorleistung und Gangschaltung sind gut abgestimmt. Fahrkomfort ist angenehm auch durch Wald und Flur.Optik suuuuper!
Weiterlesen",Rezension aus Deutschland vom 9. Juni 2024,Verifizierter Kauf,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
1,Lee Fairhurst,"5,0 von 5 Sternen",Begeistert.,"
Also, ich hatte ein Problem mit der Lieferung aber dazu muß ich sagen, ich hab's den nicht einfach gemacht. Erste war ich habe meine Meinung geändert weil ich auf einmal sär den E26 gesehen nach ich hab zwei Rädern bestellt, den L20 für mein Freundin und ich. Naja denn abgestellt und ein L20 für sie und E26 für mich. Wow bin ich froh das ich das gemacht habe.Mein Freundin ist begeistert und ich auch. So ein solides Eindruck und seht Klasse aus.Ich bin über 180cm und es passt perfekt und sie ist klein und wunderbar gepasst.Der Service ist hervorragend.Super vielen Dank für ihre Hilfe.Top Leute.Kann ich nur empfehlen.
Weiterlesen",Rezension aus Deutschland vom 23. Mai 2024,Verifizierter Kauf,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
2,Dirk V.,"5,0 von 5 Sternen",Cooles Bike,"
Das Engwe 26 ist pünktlich geliefert worden und war in einem tadellosen Zustand. Das Bike ist toll und es macht richtig Spaß damit zu fahren.
Weiterlesen",Rezension aus Deutschland vom 26. Juni 2024,Verifizierter Kauf,
3,Kerstin_Fricke,"5,0 von 5 Sternen",E Bike,"
Top Design und Ausstattung. Man könnte meinen ist ein Designer Fahrrad. Lieferung top, Aufbau kinderleicht. Lässt sich super fahren,  egal auf welchem Untergrund,  auch Geländetauglich. Preis Leistung passt hier zu 100 %. Super Kundenservice.
Weiterlesen",Rezension aus Deutschland vom 25. Juni 2024,Verifizierter Kauf,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
4,Franz Gugi,"5,0 von 5 Sternen",Ein drumm Gerät.,"
Das E Bike ist ja mortz Gerät,auch läst es sich gut Fahren auch der zusammen Bau war relativ einfach da muss man kein Fachmann sein, das eine was ich bemängel ist die Bedienungsanleitung ist in Englisch,Schade.
Weiterlesen",Rezension aus Deutschland vom 9. Juni 2024,Verifizierter Kauf,
5,Hermann,"4,0 von 5 Sternen",Sehr gut..,"
Schönes,robustes Bike. Eher für grosse Leute. Etwas holprige Lieferung, aber freundlicher Kundendienst.Preis sehr gut. Das Display hat leider nur Grundfunktionen und einige Dinge könnten besser sein, ist aber dem Preis geschuldet und völlig ok.  Die Reichweite...die 140km sind Wunschdenken des Herstellers....gg.. wahrscheinlich gerade strecke, Rückenwind, 1. Stufe mit einem fleißig tretendem 40kg Chinesen drauf...man schafft auch 1000km, wenn man ohne Unterstützung fährt.gg..kommt immer drauf an wie man das ermittelt..60-100km je nach Unterstützung und Gelände und mit bei mir ca 92kg, sind da realistischer. Bei höchster Stufe eher die 60.  Ist jetzt kein Spitzenbike, aber besser als erwartet. Sehr gut und für den Preis sehr gut verarbeitetes Bike. Wer dieses Rad kauft macht glaube ich nichts falsch.Ich jedenfalls habe es nicht bereut und würde es wieder kaufen.Und noch am Rande, alle Fahrstufen sind einzeln voll anpaßbar in Geschwindigkeit und Menge. Gibt ein  Youtube Video dazu wo auch das Entsperren und Funktionen erklärt werden. Einfach auf Youtube nach ENGWE E26 Tuning Geschwindigkeit erhöhen, Gasgriff aktivieren und mehr im Geheimmenü suchen.
Weiterlesen",Rezension aus Deutschland vom 29. Mai 2024,Verifizierter Kauf,
6,Eff Beh,"5,0 von 5 Sternen",Für den Preis unschlagbar!,"
Kontakt zum Kundenservice war gut, Lieferung erfolgte ohne Probleme. Aufbau teils kniffelig, aber es gibt ein gutes Aufbau-Video dazu.Man muss sich erstmal an das Riesen-Teil gewöhnen. Aber so groß und bullig sind alle anderen E-Fatbikes auch.Ich bin bisher 27km gefahren, auf allen möglichen Untergründen, auch über Stock und Stein, bergauf und bergab. Ich bin wirklich zufrieden, vor allem trägt mich das Fahrrad jeden Berg problemlos hoch, und das mit meinen fast 120kg. Akku scheint auch zu halten was er verspricht, noch 4 von 5 Balken nach einer 20km Tour.Ich bin 165cm groß, und obwohl das Fahrrad erst ab ca 170cm empfohlen wird, klappt es ganz gut. Für mich wäre es ansonsten ein Himiway Cruiser oder Zebra geworden, aber der Preisunterschied war mir dann doch zu hoch. Das Engwe ist preislich für das was es bietet, aktuell die beste Wahl (ja ich habe sehr viel Recherche betrieben!).Ich hoffe, dass es lange hält, bei anfallenden Problemen werde ich meine Bewertung aktualisieren.
Weiterlesen",Rezension aus Deutschland vom 13. April 2024,Verifizierter Kauf,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif
7,Elke  Hagyo,"5,0 von 5 Sternen",Super Fatbike,"
Tolles Fahrrad,da ich jeden Tag auf Arbeit fahre Sommer wie Winter..Dazu sieht es noch super aus U mankann jederzeit den Support kontaktieren wenn was ist
Weiterlesen",Rezension aus Deutschland vom 20. Mai 2024,Verifizierter Kauf,
8,mbegylvwcubkvas,"5,0 von 5 Sternen",,"
Came easy to assemble, everything worked as expected or better.We unpacked today and leave for a 1500km three months ride. Couldn't be happier one day one.
Weiterlesen",Rezension aus den Niederlanden vom 18. Juli 2024,Verifizierter Kauf,
9,mikeciccio,"5,0 von 5 Sternen",,"
Esteticamente molto pulita nelle linee e imponente nelle dimensioni. Le foto non rendono bene le effettive dimensioni. Quando entra in azione il motore la spinta rende la bici leggerissima e le strade tutte in discesa. Solida e ben fatta anche nei piccoli particolari. Ho avuto iniziale difficoltà nella procedura di sblocco della velocità massima ma il venditore con celere risposta ha indicato la corretta procedura, forse diversa da quella che si ritrova in rete. Al momento pienamente soddisfatto
Weiterlesen",Rezension aus Italien vom 18. Juni 2024,Verifizierter Kauf,
10,Jesús María Fernández,"5,0 von 5 Sternen",,"
Es mi primera bici eléctrica y estoy impresionado por el diseño, calidad , comodidad y la potencia de su motor.Tuve un problema con la pantalla display y me lo solucionaron rápidamente, enviándome una nueva..Ahora todo perfecto para disfrutarla.
Weiterlesen",Rezension aus Spanien vom 22. April 2024,Verifizierter Kauf,
11,Michele,"5,0 von 5 Sternen",,"
Totalmente soddisfatto, bici bellissima, qualità costruttiva ottima, la bicicletta va benissimo ed è divertente da guidare
Weiterlesen",Rezension aus Italien vom 5. Juni 2024,Verifizierter Kauf,
12,Juan salvador,"5,0 von 5 Sternen",,"
La tengo una semana y estoy súper contento robusta y muy bonita la recomiendo 100 por 100
Weiterlesen",Rezension aus Spanien vom 29. April 2024,Verifizierter Kauf,
